Date,GOLD,USDX
4/24/2000,281.2,107.28
4/25/2000,279.8,108.69
4/26/2000,277.1,108.55
4/27/2000,278.4,109.57
4/28/2000,274.7,110.14
5/1/2000,274.8,109.63
5/2/2000,277,110.26
5/3/2000,279.1,111.26
5/4/2000,281.2,111.8
5/5/2000,280.1,111.31
5/8/2000,277.6,111.45
5/9/2000,278.2,110.75
5/10/2000,278.7,110.8
5/11/2000,276.5,111.52
5/12/2000,276.9,109.9
5/15/2000,276.4,110.56
5/16/2000,276.2,111.31
5/17/2000,273.8,112.1
5/18/2000,273.7,112.21
5/19/2000,274.6,111.47
5/22/2000,276.2,111.06
5/23/2000,274.7,111.14
5/24/2000,273.8,111.22
5/25/2000,270.7,110.75
5/26/2000,272.2,109.12
5/30/2000,275.5,108.93
5/31/2000,274.8,108.74
6/1/2000,275.4,109.05
6/2/2000,284.2,108.12
6/5/2000,288.2,107.46
6/6/2000,291.8,106.59
6/7/2000,290,106.18
6/8/2000,286.8,106.71
6/9/2000,286.4,106.99
6/12/2000,289.1,106.97
6/13/2000,288.1,106.4
6/14/2000,294.2,106.46
6/15/2000,292.1,106.88
6/16/2000,291.2,105.96
6/19/2000,288,106.33
6/20/2000,288.1,106.33
6/21/2000,288.1,107.43
6/22/2000,287.2,107.71
6/23/2000,284.8,108.01
6/26/2000,285.5,108.11
6/27/2000,287.5,107.36
6/28/2000,294.3,107.6
6/29/2000,290.7,106.84
6/30/2000,291.5,106.84
7/5/2000,285.3,107.12
7/6/2000,284.6,107.37
7/7/2000,284.6,107.65
7/10/2000,284.9,107.01
7/11/2000,283.3,107.14
7/12/2000,281.4,108.12
7/13/2000,280.9,108.54
7/14/2000,281.9,108.45
7/17/2000,284.2,108.7
7/18/2000,283.1,109.38
7/19/2000,279.6,109.59
7/20/2000,280.4,108.61
7/21/2000,280.6,108.42
7/24/2000,279.3,108.69
7/25/2000,279.3,108.38
7/26/2000,279.7,108.11
7/27/2000,278.6,108.89
7/28/2000,284.2,109.74
7/31/2000,283.2,109.57
8/1/2000,283.2,110.05
8/2/2000,282.8,110.67
8/3/2000,279.5,110.98
8/4/2000,278.6,110.85
8/7/2000,279.1,110.8
8/8/2000,278.7,111.32
8/9/2000,277.3,111.44
8/10/2000,277.6,110.9
8/11/2000,280.3,111.21
8/14/2000,279.6,111.08
8/15/2000,279.6,110.51
8/16/2000,282.3,110.26
8/17/2000,282.6,110.11
8/18/2000,281.7,111.01
8/21/2000,280,111.46
8/22/2000,278.3,111.79
8/23/2000,275.7,111.42
8/24/2000,277.5,111.23
8/25/2000,278.6,111.35
8/28/2000,278.5,111.46
8/29/2000,277.5,112.2
8/30/2000,278.2,112.14
8/31/2000,282.1,112.6
9/1/2000,280.9,111.42
9/5/2000,279.7,112.41
9/6/2000,277.9,114.12
9/7/2000,277.7,113.65
9/8/2000,276.8,114.34
9/11/2000,276.8,115.37
9/12/2000,276.6,115.17
9/13/2000,276.5,115.34
9/14/2000,276,115.16
9/15/2000,275.8,115.94
9/18/2000,274.9,116
9/19/2000,275.4,116.11
9/20/2000,272.5,116.41
9/21/2000,273.5,115.27
9/22/2000,275.1,113.56
9/25/2000,277.3,114.06
9/26/2000,277.3,113.16
9/27/2000,281.6,113.11
9/28/2000,278.9,113.31
9/29/2000,276.9,113.25
10/2/2000,276.3,113.79
10/3/2000,274.8,114.22
10/4/2000,273.2,114.17
10/5/2000,273.4,114.74
10/6/2000,272.1,114.85
10/9/2000,272.9,114.81
10/10/2000,275.1,114.36
10/11/2000,273,114.49
10/12/2000,278.8,114.89
10/13/2000,274.8,115.86
10/16/2000,273.9,116.39
10/17/2000,273.4,115.89
10/18/2000,272.6,117.33
10/19/2000,272.3,116.94
10/20/2000,273.3,117.16
10/23/2000,272,117.54
10/24/2000,272.1,117.42
10/25/2000,267.9,118.49
10/26/2000,266.6,118.5
10/27/2000,265.9,117.39
10/30/2000,265.8,117.25
10/31/2000,266.4,116.65
11/1/2000,265.4,115.56
11/2/2000,265.9,115.61
11/3/2000,266.1,114.97
11/6/2000,266,115.69
11/7/2000,265.4,115.52
11/8/2000,266.1,116.23
11/9/2000,266.9,115.34
11/10/2000,265.5,115.79
11/13/2000,265.3,115.7
11/14/2000,265.4,116.22
11/15/2000,265.6,116.35
11/16/2000,266.3,116.93
11/17/2000,266.2,117.31
11/20/2000,266.8,117.35
11/21/2000,266.1,117.95
11/22/2000,266.7,117.85
11/27/2000,270.3,117.1
11/28/2000,269.8,116.58
11/29/2000,269.6,116.61
11/30/2000,273.3,115.24
12/1/2000,271.9,114.73
12/4/2000,273.8,113.71
12/5/2000,273.3,114.47
12/6/2000,277.3,113.31
12/7/2000,276.1,113.54
12/8/2000,275.1,114.05
12/11/2000,273.1,114.29
12/12/2000,273.2,114.26
12/13/2000,271.2,114.71
12/14/2000,271.5,113.38
12/15/2000,272.9,112.9
12/18/2000,272,113.07
12/19/2000,272,113.21
12/20/2000,274.7,111.97
12/21/2000,275.7,111.51
12/22/2000,275.5,110.82
12/26/2000,275.9,110.31
12/27/2000,276.9,110.32
12/28/2000,273.7,110.38
12/29/2000,273.6,109.56
1/2/2001,270,108.77
1/3/2001,269.3,110.17
1/4/2001,268.4,108.81
1/5/2001,269,108.42
1/8/2001,269,108.86
1/9/2001,268.5,109.52
1/10/2001,265.6,109.86
1/11/2001,264.8,109.01
1/12/2001,264.6,109.36
1/16/2001,263.9,110.11
1/17/2001,263.8,110.81
1/18/2001,264.8,109.94
1/19/2001,264.9,110.66
1/22/2001,267,110.24
1/23/2001,266.7,110.24
1/24/2001,264.6,111.68
1/25/2001,264.8,111.61
1/26/2001,262.9,111.46
1/29/2001,262.8,111.77
1/30/2001,268,110.98
1/31/2001,268,110.52
2/1/2001,270.7,109.66
2/2/2001,269.3,110.32
2/5/2001,267.4,109.89
2/6/2001,265.4,110.77
2/7/2001,264.9,110.89
2/8/2001,262.2,112.06
2/9/2001,262,111.52
2/12/2001,262.7,111.19
2/13/2001,262.2,111.96
2/14/2001,261.2,112.04
2/15/2001,256.9,113.2
2/16/2001,259.8,112.26
2/20/2001,257.6,112.82
2/21/2001,259.4,113.12
2/22/2001,259.8,113.34
2/23/2001,262.1,112.03
2/26/2001,266.8,112.77
2/27/2001,268.4,112.34
2/28/2001,267.8,112.01
3/1/2001,266.2,111.28
3/2/2001,263.1,111.17
3/5/2001,263.5,111.54
3/6/2001,260.9,111.2
3/7/2001,262.4,111.83
3/8/2001,266.1,111.49
3/9/2001,271.5,111.44
3/12/2001,272.3,112.01
3/13/2001,267.5,113.11
3/14/2001,262.9,113.7
3/15/2001,260.3,114.71
3/16/2001,258.4,115.32
3/19/2001,260.1,115.2
3/20/2001,260.8,114.11
3/21/2001,262.2,115.53
3/22/2001,261.4,116.3
3/23/2001,261.7,115.94
3/26/2001,262.1,115.21
3/27/2001,261.1,115.43
3/28/2001,259.7,116.01
3/29/2001,260.4,116.6
3/30/2001,259.2,117.37
4/2/2001,256.6,117.34
4/3/2001,257.9,115.63
4/4/2001,259.4,115.08
4/5/2001,259.1,115.47
4/6/2001,260.9,114.75
4/9/2001,259.2,115.21
4/10/2001,258.2,116.02
4/11/2001,259.6,116.13
4/12/2001,260.9,115.54
4/16/2001,264.1,116.18
4/17/2001,261.8,116.46
4/18/2001,262,116.13
4/19/2001,266,115.02
4/20/2001,265.4,114.32
4/23/2001,264.3,114.77
4/24/2001,264.7,115.2
4/25/2001,262.6,114.98
4/26/2001,264.5,114.46
4/27/2001,264.3,115.62
4/30/2001,264.4,115.85
5/1/2001,264.8,115.3
5/2/2001,265.8,115.16
5/3/2001,266.7,115.38
5/4/2001,266.5,114.93
5/7/2001,266.5,115.32
5/8/2001,265.5,116.08
5/9/2001,270.4,116.05
5/10/2001,269.5,116.37
5/11/2001,268.3,116.84
5/14/2001,268.7,117.14
5/15/2001,268.5,116.79
5/16/2001,272.4,116.14
5/17/2001,274,116.12
5/18/2001,287.8,116.41
5/21/2001,285.8,116.52
5/22/2001,285.5,117.69
5/23/2001,284,118.29
5/24/2001,279.4,118.36
5/25/2001,278.2,118.18
5/29/2001,273.9,118.22
