Date,Price
2/13/2020,"1,576.30"
2/12/2020,"1,568.80"
2/11/2020,"1,567.20"
2/10/2020,"1,576.60"
2/7/2020,"1,570.60"
2/6/2020,"1,567.20"
2/5/2020,"1,560.10"
2/4/2020,"1,552.70"
2/3/2020,"1,579.50"
1/31/2020,"1,584.90"
1/30/2020,"1,586.50"
1/29/2020,"1,570.40"
1/28/2020,"1,569.80"
1/27/2020,"1,577.40"
1/24/2020,"1,571.90"
1/23/2020,"1,565.40"
1/22/2020,"1,556.70"
1/21/2020,"1,557.90"
1/20/2020,"1,557.90"
1/17/2020,"1,560.30"
1/16/2020,"1,550.50"
1/15/2020,"1,554.00"
1/14/2020,"1,544.60"
1/13/2020,"1,550.60"
1/10/2020,"1,560.10"
1/9/2020,"1,554.30"
1/8/2020,"1,560.20"
1/7/2020,"1,574.30"
1/6/2020,"1,568.80"
1/3/2020,"1,552.40"
1/2/2020,"1,528.10"
12/31/2019,"1,523.10"
12/30/2019,"1,518.60"
12/27/2019,"1,514.30"
12/26/2019,"1,510.70"
12/24/2019,"1,500.60"
12/23/2019,"1,484.30"
12/20/2019,"1,477.00"
12/19/2019,"1,480.20"
12/18/2019,"1,474.70"
12/17/2019,"1,477.00"
12/16/2019,"1,477.90"
12/13/2019,"1,478.60"
12/12/2019,"1,469.80"
12/11/2019,"1,472.70"
12/10/2019,"1,465.90"
12/9/2019,"1,462.80"
12/6/2019,"1,462.50"
12/5/2019,"1,480.30"
12/4/2019,"1,477.50"
12/3/2019,"1,481.60"
12/2/2019,"1,466.40"
11/29/2019,"1,470.00"
11/28/2019,"1,472.70"
11/27/2019,"1,457.90"
11/26/2019,"1,460.30"
11/25/2019,"1,456.90"
11/22/2019,"1,463.60"
11/21/2019,"1,463.60"
11/20/2019,"1,474.20"
11/19/2019,"1,474.30"
11/18/2019,"1,471.90"
11/15/2019,"1,468.50"
11/14/2019,"1,473.40"
11/13/2019,"1,463.30"
11/12/2019,"1,453.70"
11/11/2019,"1,457.10"
11/8/2019,"1,462.90"
11/7/2019,"1,466.40"
11/6/2019,"1,493.10"
11/5/2019,"1,483.70"
11/4/2019,"1,511.10"
11/1/2019,"1,511.40"
10/31/2019,"1,514.80"
10/30/2019,"1,496.70"
10/29/2019,"1,487.40"
10/28/2019,"1,492.40"
10/25/2019,"1,501.70"
10/24/2019,"1,501.00"
10/23/2019,"1,491.80"
10/22/2019,"1,483.60"
10/21/2019,"1,484.20"
10/18/2019,"1,490.00"
10/17/2019,"1,494.20"
10/16/2019,"1,490.20"
10/15/2019,"1,479.70"
10/14/2019,"1,493.80"
10/11/2019,"1,484.70"
10/10/2019,"1,497.00"
10/9/2019,"1,508.90"
10/8/2019,"1,500.10"
10/7/2019,"1,500.70"
10/4/2019,"1,509.20"
10/3/2019,"1,510.10"
10/2/2019,"1,504.10"
10/1/2019,"1,485.20"
9/30/2019,"1,469.20"
9/27/2019,"1,502.70"
9/26/2019,"1,507.90"
9/25/2019,"1,505.10"
9/24/2019,"1,532.60"
9/23/2019,"1,524.00"
9/20/2019,"1,508.00"
9/19/2019,"1,499.50"
9/18/2019,"1,509.10"
9/17/2019,"1,506.90"
9/16/2019,"1,504.80"
9/13/2019,"1,492.90"
9/12/2019,"1,500.80"
9/11/2019,"1,496.60"
9/10/2019,"1,492.70"
9/9/2019,"1,504.50"
9/6/2019,"1,509.00"
9/5/2019,"1,519.00"
9/4/2019,"1,554.00"
9/3/2019,"1,549.60"
9/2/2019,"1,555.90"
8/30/2019,"1,523.00"
8/29/2019,"1,530.50"
8/28/2019,"1,538.80"
8/27/2019,"1,541.40"
8/26/2019,"1,527.20"
8/23/2019,"1,527.90"
8/22/2019,"1,498.70"
8/21/2019,"1,506.10"
8/20/2019,"1,506.30"
8/19/2019,"1,502.10"
8/16/2019,"1,514.10"
8/15/2019,"1,521.70"
8/14/2019,"1,518.50"
8/13/2019,"1,504.30"
8/12/2019,"1,507.70"
8/9/2019,"1,498.60"
8/8/2019,"1,499.70"
8/7/2019,"1,509.60"
8/6/2019,"1,475.20"
8/5/2019,"1,467.70"
8/2/2019,"1,448.70"
8/1/2019,"1,424.20"
7/31/2019,"1,429.10"
7/30/2019,"1,433.40"
7/29/2019,"1,420.40"
7/26/2019,"1,419.30"
7/25/2019,"1,414.70"
7/24/2019,"1,423.60"
7/23/2019,"1,421.70"
7/22/2019,"1,426.90"
7/19/2019,"1,426.70"
7/18/2019,"1,428.10"
7/17/2019,"1,423.30"
7/16/2019,"1,411.20"
7/15/2019,"1,413.50"
7/12/2019,"1,412.20"
7/11/2019,"1,406.70"
7/10/2019,"1,412.50"
7/9/2019,"1,400.50"
7/8/2019,"1,400.00"
7/5/2019,"1,400.10"
7/4/2019,"1,400.10"
7/3/2019,"1,420.90"
7/2/2019,"1,408.00"
7/1/2019,"1,389.30"
6/28/2019,"1,413.70"
6/27/2019,"1,412.00"
6/26/2019,"1,411.50"
6/25/2019,"1,415.80"
6/24/2019,"1,415.20"
6/21/2019,"1,397.30"
6/20/2019,"1,394.10"
6/19/2019,"1,345.80"
6/18/2019,"1,347.80"
6/17/2019,"1,340.00"
6/14/2019,"1,341.70"
6/13/2019,"1,340.80"
6/12/2019,"1,333.90"
6/11/2019,"1,328.30"
6/10/2019,"1,326.30"
6/7/2019,"1,343.30"
6/6/2019,"1,339.80"
6/5/2019,"1,330.60"
6/4/2019,"1,325.70"
6/3/2019,"1,324.90"
5/31/2019,"1,308.00"
5/30/2019,"1,289.90"
5/29/2019,"1,281.00"
5/28/2019,"1,277.10"
5/27/2019,"1,277.10"
5/24/2019,"1,283.60"
5/23/2019,"1,285.40"
5/22/2019,"1,274.20"
5/21/2019,"1,273.20"
5/20/2019,"1,277.30"
5/17/2019,"1,275.70"
5/16/2019,"1,286.20"
5/15/2019,"1,297.80"
5/14/2019,"1,296.30"
5/13/2019,"1,301.80"
5/10/2019,"1,287.40"
5/9/2019,"1,285.20"
5/8/2019,"1,281.40"
5/7/2019,"1,285.60"
5/6/2019,"1,283.80"
5/3/2019,"1,281.30"
5/2/2019,"1,272.00"
5/1/2019,"1,284.20"
4/30/2019,"1,285.70"
4/29/2019,"1,281.50"
4/26/2019,"1,285.50"
4/25/2019,"1,276.40"
4/24/2019,"1,276.60"
4/23/2019,"1,270.60"
4/22/2019,"1,274.70"
4/18/2019,"1,273.10"
4/17/2019,"1,273.80"
4/16/2019,"1,274.20"
4/15/2019,"1,288.50"
4/12/2019,"1,292.20"
4/11/2019,"1,290.50"
4/10/2019,"1,310.30"
4/9/2019,"1,305.10"
4/8/2019,"1,298.80"
4/5/2019,"1,292.60"
4/4/2019,"1,291.40"
4/3/2019,"1,292.30"
4/2/2019,"1,292.50"
4/1/2019,"1,291.20"
3/29/2019,"1,295.60"
3/28/2019,"1,292.50"
3/27/2019,"1,310.40"
3/26/2019,"1,315.00"
3/25/2019,"1,322.60"
3/22/2019,"1,312.30"
3/21/2019,"1,307.30"
3/20/2019,"1,301.70"
3/19/2019,"1,306.50"
3/18/2019,"1,301.50"
3/15/2019,"1,302.90"
3/14/2019,"1,295.10"
3/13/2019,"1,309.30"
3/12/2019,"1,298.10"
3/11/2019,"1,291.10"
3/8/2019,"1,299.30"
3/7/2019,"1,286.10"
3/6/2019,"1,287.60"
3/5/2019,"1,284.70"
3/4/2019,"1,287.50"
3/1/2019,"1,299.20"
2/28/2019,"1,316.10"
2/27/2019,"1,321.20"
2/26/2019,"1,325.30"
2/25/2019,"1,326.50"
2/22/2019,"1,329.70"
2/21/2019,"1,324.60"
2/20/2019,"1,344.10"
2/19/2019,"1,340.80"
2/18/2019,"1,344.80"
2/15/2019,"1,319.10"
2/14/2019,"1,311.30"
2/13/2019,"1,312.40"
2/12/2019,"1,311.30"
2/11/2019,"1,309.20"
2/8/2019,"1,315.90"
2/7/2019,"1,311.60"
2/6/2019,"1,311.70"
2/5/2019,"1,316.50"
2/4/2019,"1,316.60"
2/1/2019,"1,319.30"
1/31/2019,"1,322.30"
1/30/2019,"1,312.80"
1/29/2019,"1,308.90"
1/28/2019,"1,303.10"
1/25/2019,"1,298.10"
1/24/2019,"1,279.80"
1/23/2019,"1,284.00"
1/22/2019,"1,283.40"
1/21/2019,"1,283.40"
1/18/2019,"1,282.60"
1/17/2019,"1,292.30"
1/16/2019,"1,293.80"
1/15/2019,"1,288.40"
1/14/2019,"1,291.30"
1/11/2019,"1,289.50"
1/10/2019,"1,287.40"
1/9/2019,"1,292.00"
1/8/2019,"1,285.90"
1/7/2019,"1,289.90"
1/4/2019,"1,285.80"
1/3/2019,"1,294.80"
1/2/2019,"1,284.10"
12/31/2018,"1,281.30"
12/28/2018,"1,283.00"
12/27/2018,"1,277.40"
12/26/2018,"1,269.00"
12/24/2018,"1,267.90"
12/21/2018,"1,254.60"
12/20/2018,"1,263.90"
12/19/2018,"1,252.60"
12/18/2018,"1,250.10"
12/17/2018,"1,248.20"
12/14/2018,"1,237.90"
12/13/2018,"1,243.70"
12/12/2018,"1,246.10"
12/11/2018,"1,242.80"
12/10/2018,"1,244.90"
12/7/2018,"1,248.20"
12/6/2018,"1,239.70"
12/5/2018,"1,239.10"
12/4/2018,"1,243.30"
12/3/2018,"1,236.90"
11/30/2018,"1,223.60"
11/29/2018,"1,227.90"
11/28/2018,"1,223.60"
11/27/2018,"1,213.40"
11/26/2018,"1,222.40"
11/23/2018,"1,223.20"
11/22/2018,"1,223.20"
11/21/2018,"1,228.00"
11/20/2018,"1,221.20"
11/19/2018,"1,225.30"
11/16/2018,"1,223.00"
11/15/2018,"1,215.00"
11/14/2018,"1,210.10"
11/13/2018,"1,201.40"
11/12/2018,"1,203.50"
11/9/2018,"1,208.60"
11/8/2018,"1,225.10"
11/7/2018,"1,228.70"
11/6/2018,"1,226.30"
11/5/2018,"1,232.30"
11/2/2018,"1,233.30"
