Date,USD
1978-12-29,226
1979-01-01,226
1979-01-02,226.8
1979-01-03,218.6
1979-01-04,223.2
1979-01-05,225.5
1979-01-08,223.1
1979-01-09,224
1979-01-10,220.7
1979-01-11,220.7
1979-01-12,217.6
1979-01-15,216.9
1979-01-16,220.7
1979-01-17,227.3
1979-01-18,231.8
1979-01-19,230.6
1979-01-22,235
1979-01-23,230
1979-01-24,236.1
1979-01-25,233.9
1979-01-26,235.5
1979-01-29,235.2
1979-01-30,233.5
1979-01-31,233.7
1979-02-01,229.4
1979-02-02,230.3
1979-02-05,243.1
1979-02-06,244.5
1979-02-07,251.6
1979-02-08,250.5
1979-02-09,246.8
1979-02-12,244.3
1979-02-13,240.6
1979-02-14,240.7
1979-02-15,247.8
1979-02-16,247.1
1979-02-19,248.1
1979-02-20,247
1979-02-21,250.8
1979-02-22,252.4
1979-02-23,251
1979-02-26,248.6
1979-02-27,247.9
1979-02-28,251.3
1979-03-01,248.8
1979-03-02,248
1979-03-05,238.2
1979-03-06,239.8
1979-03-07,242.3
1979-03-08,239.2
1979-03-09,241
1979-03-12,240
1979-03-13,239.1
1979-03-14,239.5
1979-03-15,240.1
1979-03-16,244
1979-03-19,242.3
1979-03-20,242.1
1979-03-21,239.9
1979-03-22,242.9
1979-03-23,242.5
1979-03-26,245.3
1979-03-27,244.4
1979-03-28,244.4
1979-03-29,241.5
1979-03-30,240.1
1979-04-02,239.7
1979-04-03,240
1979-04-04,239.8
1979-04-05,240.7
1979-04-06,239.8
1979-04-09,240.2
1979-04-10,239.8
1979-04-11,238.4
1979-04-12,234
1979-04-13,234
1979-04-16,234
1979-04-17,231.9
1979-04-18,233.2
1979-04-19,240.9
1979-04-20,236.4
1979-04-23,236.9
1979-04-24,239.7
1979-04-25,241.8
1979-04-26,242.2
1979-04-27,243.7
1979-04-30,245.3
1979-05-01,247.3
1979-05-02,246.3
1979-05-03,246.5
1979-05-04,248.5
1979-05-07,248.5
1979-05-08,249
1979-05-09,248
1979-05-10,252.3
1979-05-11,251.5
1979-05-14,251
1979-05-15,255.5
1979-05-16,256.5
1979-05-17,256.8
1979-05-18,256.4
1979-05-21,262
1979-05-22,265.4
1979-05-23,264.2
1979-05-24,263.8
1979-05-25,270.6
1979-05-28,270.6
1979-05-29,273.8
1979-05-30,270.3
1979-05-31,274.6
1979-06-01,275.1
1979-06-04,272.9
1979-06-05,274.8
1979-06-06,280
1979-06-07,276.1
1979-06-08,280
1979-06-11,282.4
1979-06-12,277.8
1979-06-13,276.6
1979-06-14,279
1979-06-15,280
1979-06-18,278
1979-06-19,280.3
1979-06-20,281.4
1979-06-21,282.3
1979-06-22,283.5
1979-06-25,283.9
1979-06-26,281.5
1979-06-27,281.8
1979-06-28,275.9
1979-06-29,277.5
1979-07-02,282.5
1979-07-03,281.4
1979-07-04,283.5
1979-07-05,288.3
1979-07-06,290.3
1979-07-09,287.9
1979-07-10,290.5
1979-07-11,290.3
1979-07-12,290.8
1979-07-13,287.5
1979-07-16,292.8
1979-07-17,296.3
1979-07-18,302.2
1979-07-19,299.2
1979-07-20,298.8
1979-07-23,304.9
1979-07-24,305.3
1979-07-25,303.4
1979-07-26,305.2
1979-07-27,305.8
1979-07-30,301.4
1979-07-31,296.5
1979-08-01,290.1
1979-08-02,291.5
1979-08-03,286.5
1979-08-06,282.7
1979-08-07,285.1
1979-08-08,289
1979-08-09,297.1
1979-08-10,303.8
1979-08-13,298.8
1979-08-14,292
1979-08-15,301.9
