"Date","Price","Open","High","Low","Vol.","Change %"
"09/25/2018","72.685","72.905","72.960","72.575","","0.02%"
"09/26/2018","72.600","72.710","72.755","72.537","","-0.12%"
"09/27/2018","72.570","72.430","72.770","72.390","","-0.04%"
"09/28/2018","72.510","72.570","72.670","72.405","","-0.08%"
"10/01/2018","72.925","72.605","72.945","72.605","","0.57%"
"10/02/2018","72.925","72.925","72.925","72.925","","0.00%"
"10/03/2018","73.345","73.265","73.430","72.920","","0.58%"
"10/04/2018","73.630","73.710","73.825","73.500","","0.39%"
"10/05/2018","73.770","73.620","74.250","73.425","","0.19%"
"10/08/2018","74.065","73.870","74.100","73.765","","0.40%"
"10/09/2018","74.340","73.910","74.405","73.880","","0.37%"
"10/10/2018","74.250","74.160","74.293","74.060","","-0.12%"
"10/11/2018","74.050","74.380","74.490","74.005","","-0.27%"
"10/12/2018","73.610","73.830","73.860","73.530","","-0.59%"
"10/15/2018","73.770","73.803","74.070","73.770","","0.22%"
"10/16/2018","73.465","73.810","73.960","73.465","","-0.41%"
"10/17/2018","73.600","73.420","73.670","73.373","","0.18%"
"10/18/2018","73.530","73.590","73.615","73.485","","-0.10%"
"10/19/2018","73.375","73.605","73.655","73.295","","-0.21%"
"10/22/2018","73.560","73.305","73.565","73.192","","0.25%"
"10/23/2018","73.550","73.710","73.833","73.510","","-0.01%"
"10/24/2018","73.230","73.160","73.343","73.100","","-0.44%"
"10/25/2018","73.230","73.350","73.380","73.165","","0.00%"
"10/26/2018","73.460","73.430","73.472","73.270","","0.31%"
"10/29/2018","73.400","73.355","73.525","73.322","","-0.08%"
"10/30/2018","73.680","73.560","73.705","73.520","","0.38%"
"10/31/2018","73.960","73.920","74.140","73.800","","0.38%"
"11/01/2018","73.455","73.855","73.873","73.455","","-0.68%"
"11/02/2018","72.440","73.125","73.215","72.430","","-1.38%"
"11/05/2018","73.080","72.807","73.135","72.757","","0.88%"
"11/06/2018","72.955","72.945","73.075","72.905","","-0.17%"
"11/07/2018","72.450","72.950","72.950","72.450","","-0.69%"
"11/08/2018","72.380","72.460","72.460","72.380","","-0.10%"
"11/09/2018","72.480","72.680","72.828","72.415","","0.14%"
"11/12/2018","72.860","72.735","73.067","72.735","","0.52%"
"11/13/2018","72.615","72.795","72.810","72.515","","-0.34%"
"11/14/2018","72.310","72.175","72.405","72.005","","-0.42%"
"11/15/2018","71.915","72.035","72.185","71.870","","-0.55%"
"11/16/2018","71.980","71.995","71.995","71.715","","0.09%"
"11/19/2018","71.610","71.925","72.082","71.550","","-0.51%"
"11/20/2018","71.430","71.370","71.523","71.287","","-0.25%"
