Date,USD,usdx
12/26/1979,473.1,85.99
12/27/1979,473.1,85.51
12/28/1979,512,85.81
12/31/1979,512,85.82
1/2/1980,559.5,85.32
1/3/1980,634,85.26
1/4/1980,588,85.23
1/7/1980,633.5,84.79
1/8/1980,610,85.07
1/9/1980,607.2,85.02
1/10/1980,602.9,85.21
1/11/1980,623,85.35
1/14/1980,660,85.23
1/15/1980,684,85.64
1/16/1980,760,85.4
1/17/1980,750,85.52
1/18/1980,835,85.45
1/21/1980,850,85.7
1/22/1980,737.5,85.8
1/23/1980,695,85.56
1/24/1980,717,85.71
1/25/1980,668,85.94
1/28/1980,624,86.1
1/29/1980,674.3,86.02
1/30/1980,691,85.96
1/31/1980,653,86.14
2/1/1980,676.5,86.13
2/4/1980,669.8,86.05
2/5/1980,682,86.02
2/6/1980,709,85.62
2/7/1980,699.3,85.8
2/8/1980,692,85.94
2/11/1980,710.5,85.85
2/13/1980,696.8,85.77
2/14/1980,682,85.84
2/15/1980,667,86.1
2/19/1980,652.3,86.51
2/20/1980,606,86.48
2/21/1980,665,86.41
2/22/1980,630,86.92
2/25/1980,616.5,87.05
2/26/1980,642.3,87.08
2/27/1980,636,86.9
2/28/1980,646,87.01
2/29/1980,637,87.65
3/3/1980,633.8,87.85
3/4/1980,631.3,88.08
3/5/1980,643.5,87.99
3/6/1980,626,88.32
3/7/1980,609,88.41
3/10/1980,585,88.89
3/11/1980,570.3,88.93
3/12/1980,585.7,88.8
3/13/1980,556.5,89.27
3/14/1980,523,89.82
3/17/1980,484,91.27
3/18/1980,481.5,91.35
3/19/1980,527,91.09
3/20/1980,561,90.84
3/21/1980,525,91.26
3/24/1980,558.3,91.61
3/25/1980,547.3,91.84
3/26/1980,507.5,91.75
3/27/1980,485.3,92.49
3/28/1980,490,92.83
3/31/1980,494.5,93.58
4/1/1980,509.5,94.22
4/2/1980,500.5,94.07
4/3/1980,485.8,94.37
4/4/1980,485.8,94.67
4/7/1980,485.8,94.88
4/8/1980,528,93.46
4/9/1980,554,91.63
4/10/1980,526,91.07
4/11/1980,530.5,91.26
4/14/1980,529.8,91.02
4/15/1980,497.5,91.81
4/16/1980,520,90.57
4/17/1980,513,90.51
4/18/1980,515.6,90.5
4/21/1980,506,90.15
4/22/1980,502.4,90.55
4/23/1980,506.5,88.87
4/24/1980,515.7,88.83
4/25/1980,551.5,88.68
4/28/1980,524.3,88.04
4/29/1980,513.8,88.01
4/30/1980,518,88.11
5/1/1980,490,88.22
5/2/1980,512.5,88.9
5/5/1980,512.5,87.84
5/6/1980,512.5,87.41
5/7/1980,510,87.21
5/8/1980,515.8,87.5
5/9/1980,508.3,88.01
5/12/1980,513.3,87.08
5/13/1980,512,87.23
5/14/1980,525,86.92
5/15/1980,517,86.97
5/16/1980,516.5,87.24
