Date,Price
4/24/2000,281.2
4/25/2000,279.8
4/26/2000,277.1
4/27/2000,278.4
4/28/2000,274.7
5/1/2000,274.8
5/2/2000,277
5/3/2000,279.1
5/4/2000,281.2
5/5/2000,280.1
5/8/2000,277.6
5/9/2000,278.2
5/10/2000,278.7
5/11/2000,276.5
5/12/2000,276.9
5/15/2000,276.4
5/16/2000,276.2
5/17/2000,273.8
5/18/2000,273.7
5/19/2000,274.6
5/22/2000,276.2
5/23/2000,274.7
5/24/2000,273.8
5/25/2000,270.7
5/26/2000,272.2
5/30/2000,275.5
5/31/2000,274.8
6/1/2000,275.4
6/2/2000,284.2
6/5/2000,288.2
6/6/2000,291.8
6/7/2000,290
6/8/2000,286.8
6/9/2000,286.4
6/12/2000,289.1
6/13/2000,288.1
6/14/2000,294.2
6/15/2000,292.1
6/16/2000,291.2
6/19/2000,288
6/20/2000,288.1
6/21/2000,288.1
6/22/2000,287.2
6/23/2000,284.8
6/26/2000,285.5
6/27/2000,287.5
6/28/2000,294.3
6/29/2000,290.7
6/30/2000,291.5
7/5/2000,285.3
7/6/2000,284.6
7/7/2000,284.6
7/10/2000,284.9
7/11/2000,283.3
7/12/2000,281.4
7/13/2000,280.9
7/14/2000,281.9
7/17/2000,284.2
7/18/2000,283.1
7/19/2000,279.6
7/20/2000,280.4
7/21/2000,280.6
7/24/2000,279.3
7/25/2000,279.3
7/26/2000,279.7
7/27/2000,278.6
7/28/2000,284.2
7/31/2000,283.2
8/1/2000,283.2
8/2/2000,282.8
8/3/2000,279.5
8/4/2000,278.6
8/7/2000,279.1
8/8/2000,278.7
8/9/2000,277.3
8/10/2000,277.6
8/11/2000,280.3
8/14/2000,279.6
8/15/2000,279.6
8/16/2000,282.3
8/17/2000,282.6
8/18/2000,281.7
8/21/2000,280
8/22/2000,278.3
8/23/2000,275.7
8/24/2000,277.5
8/25/2000,278.6
8/28/2000,278.5
8/29/2000,277.5
8/30/2000,278.2
8/31/2000,282.1
9/1/2000,280.9
9/5/2000,279.7
9/6/2000,277.9
9/7/2000,277.7
9/8/2000,276.8
9/11/2000,276.8
9/12/2000,276.6
9/13/2000,276.5
9/14/2000,276
9/15/2000,275.8
9/18/2000,274.9
9/19/2000,275.4
9/20/2000,272.5
9/21/2000,273.5
9/22/2000,275.1
9/25/2000,277.3
9/26/2000,277.3
9/27/2000,281.6
9/28/2000,278.9
9/29/2000,276.9
10/2/2000,276.3
10/3/2000,274.8
10/4/2000,273.2
10/5/2000,273.4
10/6/2000,272.1
10/9/2000,272.9
10/10/2000,275.1
10/11/2000,273
10/12/2000,278.8
10/13/2000,274.8
10/16/2000,273.9
10/17/2000,273.4
10/18/2000,272.6
10/19/2000,272.3
