Date,Price
12/26/1979,85.99
12/27/1979,85.51
12/28/1979,85.81
12/31/1979,85.82
1/2/1980,85.32
1/3/1980,85.26
1/4/1980,85.23
1/7/1980,84.79
1/8/1980,85.07
1/9/1980,85.02
1/10/1980,85.21
1/11/1980,85.35
1/14/1980,85.23
1/15/1980,85.64
1/16/1980,85.4
1/17/1980,85.52
1/18/1980,85.45
1/21/1980,85.7
1/22/1980,85.8
1/23/1980,85.56
1/24/1980,85.71
1/25/1980,85.94
1/28/1980,86.1
1/29/1980,86.02
1/30/1980,85.96
1/31/1980,86.14
2/1/1980,86.13
2/4/1980,86.05
2/5/1980,86.02
2/6/1980,85.62
2/7/1980,85.8
2/8/1980,85.94
2/11/1980,85.85
2/13/1980,85.77
2/14/1980,85.84
2/15/1980,86.1
2/19/1980,86.51
2/20/1980,86.48
2/21/1980,86.41
2/22/1980,86.92
2/25/1980,87.05
2/26/1980,87.08
2/27/1980,86.9
2/28/1980,87.01
2/29/1980,87.65
3/3/1980,87.85
3/4/1980,88.08
3/5/1980,87.99
3/6/1980,88.32
3/7/1980,88.41
3/10/1980,88.89
3/11/1980,88.93
3/12/1980,88.8
3/13/1980,89.27
3/14/1980,89.82
3/17/1980,91.27
3/18/1980,91.35
3/19/1980,91.09
3/20/1980,90.84
3/21/1980,91.26
3/24/1980,91.61
3/25/1980,91.84
3/26/1980,91.75
3/27/1980,92.49
3/28/1980,92.83
3/31/1980,93.58
4/1/1980,94.22
4/2/1980,94.07
4/3/1980,94.37
4/4/1980,94.67
4/7/1980,94.88
4/8/1980,93.46
4/9/1980,91.63
4/10/1980,91.07
4/11/1980,91.26
4/14/1980,91.02
4/15/1980,91.81
4/16/1980,90.57
4/17/1980,90.51
4/18/1980,90.5
4/21/1980,90.15
4/22/1980,90.55
4/23/1980,88.87
4/24/1980,88.83
4/25/1980,88.68
4/28/1980,88.04
4/29/1980,88.01
4/30/1980,88.11
5/1/1980,88.22
5/2/1980,88.9
5/5/1980,87.84
5/6/1980,87.41
5/7/1980,87.21
5/8/1980,87.5
5/9/1980,88.01
5/12/1980,87.08
5/13/1980,87.23
5/14/1980,86.92
5/15/1980,86.97
5/16/1980,87.24
5/19/1980,87.39
5/20/1980,87.24
5/21/1980,86.38
5/22/1980,86.37
5/23/1980,85.78
5/27/1980,85.15
5/28/1980,85.68
5/29/1980,85.9
5/30/1980,85.93
6/2/1980,86.09
6/3/1980,86.07
6/4/1980,85.8
6/5/1980,85.72
6/6/1980,85.5
6/9/1980,84.99
6/10/1980,85.02
6/11/1980,85.19
6/12/1980,85.07
6/13/1980,84.75
6/16/1980,85.12
6/17/1980,85.16
6/18/1980,85.02
6/19/1980,85.16
6/20/1980,85.25
6/23/1980,85.14
6/24/1980,85.27
6/25/1980,85.32
6/26/1980,85.16
6/27/1980,85.13
6/30/1980,85.2
7/1/1980,85.1
7/2/1980,85
7/3/1980,84.89
7/7/1980,84.19
7/8/1980,84.27
7/9/1980,84.27
7/10/1980,84.12
7/11/1980,84.22
7/14/1980,84.39
7/15/1980,84.62
7/16/1980,84.47
7/17/1980,84.17
7/18/1980,84.61
7/21/1980,84.43
7/22/1980,84.31
7/23/1980,84.53
7/24/1980,84.3
7/25/1980,84.54
7/28/1980,84.73
7/29/1980,85.29
7/30/1980,85.92
7/31/1980,86.08
8/1/1980,86.49
8/4/1980,86.13
8/5/1980,85.81
8/6/1980,85.45
8/7/1980,85.87
8/8/1980,85.93
8/11/1980,85.95
8/12/1980,85.72
8/13/1980,85.79
8/14/1980,85.93
8/15/1980,86
8/18/1980,86.43
8/19/1980,86.47
8/20/1980,86.31
8/21/1980,86.36
8/22/1980,86.86
8/25/1980,86.55
